database,title,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,excerpt,
Google Scholar,A contextual-bandit approach to personalized news article recommendation,http://scholar.google.com/https://dl.acm.org/citation.cfm?id=1772758,2010,778,24,9.42509620644907E+018,None,"http://scholar.google.com/scholar?cites=9425096206449071896&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9425096206449071896&hl=en&as_sdt=0,5",None,"Personalized web services strive to adapt their services (advertisements, news articles, etc.) to individual users by making use of both content and user information. Despite a few recent advances, this problem remains challenging for at least two reasons. First, web service is …",
Google Scholar,An actor–critic contextual bandit algorithm for personalized interventions using mobile devices,http://www-personal.umich.edu/~ehlei/jsm2015_lei_final.pdf,2014,11,4,8.69846085917376E+018,http://www-personal.umich.edu/~ehlei/jsm2015_lei_final.pdf,"http://scholar.google.com/scholar?cites=8698460859173755404&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8698460859173755404&hl=en&as_sdt=0,5",None,"Mobile devices such as smartphones and wearable devices serve a great platform to deliver health interventions. Adaptive intervention (AI, or Dynamic treatment regime, treatment policy) … ► A sequence of decision rules/ policies that input patients' characteristics and output …",
Google Scholar,A Contextual-Bandit Approach to Personalized News Document Recommendation. CoRR,None,2010,4,0,3.13597944293633E+018,None,"http://scholar.google.com/scholar?cites=3135979442936325606&as_sdt=2005&sciodt=0,5&hl=en",None,None,None,
Google Scholar,"E. Schapire, R. 2010. A contextual-bandit approach to personalized news article recommandation",None,None,4,0,9.73558578088805E+018,None,"http://scholar.google.com/scholar?cites=9735585780888053453&as_sdt=2005&sciodt=0,5&hl=en",None,None,None,
Google Scholar,A Contextual-Bandit Approach to Personalized News Document Recommendation,None,None,2,0,3.32080825616702E+018,None,"http://scholar.google.com/scholar?cites=3320808256167024033&as_sdt=2005&sciodt=0,5&hl=en",None,None,None,
Google Scholar,Contextual-bandit approach to personalized news article recommendation,http://scholar.google.com/https://patents.google.com/patent/US20150051973A1/en,2015,1,2,1.83168976757908E+019,None,"http://scholar.google.com/scholar?cites=18316897675790757168&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18316897675790757168&hl=en&as_sdt=0,5",None,"Methods and apparatus for performing computer-implemented personalized recommendations are disclosed. User information pertaining to a plurality of features of a plurality of users may be obtained. In addition, item information pertaining to a plurality of …",
Google Scholar,Contextual-bandit approach to personalized news article recommendation,http://scholar.google.com/https://patents.google.com/patent/US20120016642A1/en,2012,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=16314461736987071027&hl=en&as_sdt=0,5",None,"Methods and apparatus for performing computer-implemented personalized recommendations are disclosed. User information pertaining to a plurality of features of a plurality of users may be obtained. In addition, item information pertaining to a plurality of …",
Google Scholar,An Actor-Critic Contextual Bandit Algorithm for Personalized Mobile Health Interventions,http://scholar.google.com/https://arxiv.org/abs/1706.09090,2017,0,3,None,None,None,"http://scholar.google.com/scholar?cluster=524218592801412064&hl=en&as_sdt=0,5",None,Increasing technological sophistication and widespread use of smartphones and wearable devices provide opportunities for innovative and highly personalized health interventions. A Just-In-Time Adaptive Intervention (JITAI) uses real-time data collection and communication …,
Google Scholar,Contextual multi-armed bandit algorithms for personalized learning action selection,http://ieeexplore.ieee.org/abstract/document/7953377/,2017,1,3,5.88213620795219E+018,None,"http://scholar.google.com/scholar?cites=5882136207952188388&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5882136207952188388&hl=en&as_sdt=0,5",None,"… in a scalable way, which can be used to automatically create learning schedules that are tailoredto cater … decision process [14] framework to extend the current work from selecting a single personal-ized learning action to crafting a fully personalized learning schedule … ",
Google Scholar,Ctx-effSAMWMIX: A Contextual Multi-Armed Bandit Algorithm for personalized recommendations,http://dspace.iimk.ac.in/handle/2259/932,2017,0,4,None,None,None,"http://scholar.google.com/scholar?cluster=11192588211920439448&hl=en&as_sdt=0,5",None,… Ctx-effSAMWMIX: A Contextual Multi-Armed Bandit Algorithm for personalized recommendationsBoby Chaitanya Villari1 Mohammed Shahid Abdulla2 … IIMK WORKING PAPER Ctx-effSAMWMIX:A Contextual Multi-Armed Bandit Algorithm for personalized recommendations … ,
Google Scholar,A reinforcement learning agent for personalized information filtering,http://scholar.google.com/https://dl.acm.org/citation.cfm?id=325859,2000,109,15,1.27770290875358E+019,None,"http://scholar.google.com/scholar?cites=12777029087535817507&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12777029087535817507&hl=en&as_sdt=0,5",None,This paper describes a method for learning user's interests in the Web-based personalized information filtering system called WAIR. The proposed method analyzes user's reactions to the presented documents and learns from them the profiles for the individual users …,
Google Scholar,Personalized web-document filtering using reinforcement learning,http://www.tandfonline.com/doi/abs/10.1080/088395101750363993,2001,95,15,2.13444850205553E+018,None,"http://scholar.google.com/scholar?cites=2134448502055526306&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2134448502055526306&hl=en&as_sdt=0,5",None,"Document filtering is increasingly deployed in Web environments to reduce information overload of users. We formulate online information filtering as a reinforcement learning problem, ie, TD (0). The goal is to learn user profiles that best represent information needs …",
Google Scholar,Exploration in interactive personalized music recommendation: a reinforcement learning approach,http://scholar.google.com/https://dl.acm.org/citation.cfm?id=2623372,2014,31,11,5.40510311990472E+018,None,"http://scholar.google.com/scholar?cites=5405103119904723802&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5405103119904723802&hl=en&as_sdt=0,5",None,"Current music recommender systems typically act in a greedy manner by recommending songs with the highest user ratings. Greedy recommendation, however, is suboptimal over the long term: it does not actively gather information on user preferences and fails to …",
Google Scholar,A dialogue game framework with personalized training using reinforcement learning for computer-assisted language learning,http://ieeexplore.ieee.org/abstract/document/6639266/,2013,13,8,1.2213516666558E+019,None,"http://scholar.google.com/scholar?cites=12213516666558023415&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=12213516666558023415&hl=en&as_sdt=0,5",None,"We propose a framework for computer-assisted language learning as a pedagogical dialogue game. The goal is to offer personalized learning sentences on-line for each individual learner considering the learner's learning status, in order to strike a balance …",
Google Scholar,Reinforcement learning of context models for a ubiquitous personal assistant,http://scholar.google.com/https://link.springer.com/10.1007/978-3-540-85867-6_30,2009,10,19,9.37150738879821E+018,None,"http://scholar.google.com/scholar?cites=9371507388798211747&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9371507388798211747&hl=en&as_sdt=0,5",None,Ubiquitous environments may become a reality in a foreseeable future and research is aimed on making them more and more adapted and comfortable for users. Our work consists on applying reinforcement learning techniques in order to adapt services provided …,
Google Scholar,Personalized Intelligent Tutoring System Using Reinforcement Learning.,http://www.aaai.org/ocs/index.php/FLAIRS/FLAIRS11/paper/download/2597/3105,2011,8,12,5.20493670396713E+018,None,"http://scholar.google.com/scholar?cites=5204936703967133422&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5204936703967133422&hl=en&as_sdt=0,5",None,"In this paper, we present a Personalized Intelligent Tutoring System that uses Reinforcement Learning techniques to implicitly learn teaching rules and provide instructions to students based on their needs. The system works on coarsely labeled data with minimum expert …",
Google Scholar,Encouraging physical activity in patients with diabetes through automatic personalized feedback via reinforcement learning improves glycemic control,http://care.diabetesjournals.org/content/39/4/e59.short,2016,8,6,1.40164837821057E+019,None,"http://scholar.google.com/scholar?cites=14016483782105688493&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14016483782105688493&hl=en&as_sdt=0,5",None,"Most patients with type 2 diabetes are sedentary despite the clear benefit of regular physical activity, including better glucose control and improvement in quality of life (1). Smartphones could potentially improve patient care by continual communication with patients and sensors …",
Google Scholar,Automatic web content personalization through reinforcement learning,http://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0164121216000443,2016,11,3,1.75007514363098E+019,None,"http://scholar.google.com/scholar?cites=17500751436309839307&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17500751436309839307&hl=en&as_sdt=0,5",None,"This paper deals with the automatic adaptation of Web contents. It is recognized that quite often users need some personalized adaptations to access Web contents. This is more evident when we focus on people with some accessibility needs. Based on the user profile, it …",
Google Scholar,A personalized QoE-aware handover decision based on distributed reinforcement learning,http://scholar.google.com/https://link.springer.com/article/10.1007/s11276-013-0572-2,2013,9,9,8.04429861099534E+018,None,"http://scholar.google.com/scholar?cites=8044298610995338864&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8044298610995338864&hl=en&as_sdt=0,5",None,"Recent developments in heterogeneous mobile networks and growing demands for variety of real-time and multimedia applications have emphasized the necessity of more intelligent handover decisions. Addressing the context knowledge of mobile devices, users …",
Google Scholar,Personalisation Travel Support Engine Using Reinforcement Learning,None,2004,7,0,1.56223960442012E+019,None,"http://scholar.google.com/scholar?cites=15622396044201172333&as_sdt=2005&sciodt=0,5&hl=en",None,None,None,
Google Scholar,Personalized tuning of a reinforcement learning control algorithm for glucose regulation,http://ieeexplore.ieee.org/abstract/document/6610293/,2013,5,6,5.18776887563857E+018,None,"http://scholar.google.com/scholar?cites=5187768875638566465&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5187768875638566465&hl=en&as_sdt=0,5",None,"Artificial pancreas is in the forefront of research towards the automatic insulin infusion for patients with type 1 diabetes. Due to the high inter-and intra-variability of the diabetic population, the need for personalized approaches has been raised. This study presents an …",
Google Scholar,"Towards efficient, personalized anesthesia using continuous reinforcement learning for propofol infusion control",http://ieeexplore.ieee.org/abstract/document/6696208/,2013,5,6,5.14593539012744E+018,None,"http://scholar.google.com/scholar?cites=5145935390127444823&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5145935390127444823&hl=en&as_sdt=0,5",None,We demonstrate the use of reinforcement learning algorithms for efficient and personalized control of patients' depth of general anesthesia during surgical procedures-an important aspect for Neurotechnology. We used the continuous actor-critic learning automaton …,
Google Scholar,Personalized automatic image annotation based on reinforcement learning,http://ieeexplore.ieee.org/abstract/document/6607456/,2013,5,5,1.84168006935959E+019,None,"http://scholar.google.com/scholar?cites=18416800693595882825&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18416800693595882825&hl=en&as_sdt=0,5",None,"With the rapidly increasing number of personal image collections on the web, it is of great importance to annotate these user-uploaded images in personalized manner. But personalized image annotation is largely ignored by the mainstream of image annotation …",
Google Scholar,Developing adaptive personalized therapy for cystic fibrosis using reinforcement learning,http://biostats.bepress.com/uncbiostat/art30/,2012,4,0,1.74743872474043E+019,None,"http://scholar.google.com/scholar?cites=17474387247404320883&as_sdt=2005&sciodt=0,5&hl=en",None,None,"Optimal clinical management of inherited chronic diseases, such as Cystic Fibrosis (CF), requires a dynamic approach which updates treatments to cope with the evolving course of illness and to tailor medicines and dosages for individual patient. In this paper, we examine …",
Google Scholar,Swarm reinforcement learning algorithm based on particle swarm optimization whose personal bests have lifespans,http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-642-10684-2_19,2009,4,4,9.49282207897043E+018,None,"http://scholar.google.com/scholar?cites=9492822078970430911&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9492822078970430911&hl=en&as_sdt=0,5",None,"We recently proposed a swarm reinforcement learning algorithm based on particle swarm optimization (PSO) in order to find optimal policies rapidly. In this algorithm, multiple agents are prepared, and they learn not only by individual learning but also by an update procedure …",
Google Scholar,A task-oriented service personalization scheme for smart environments using reinforcement learning,http://ieeexplore.ieee.org/abstract/document/7457110/,2016,2,2,1.10507979477689E+019,None,"http://scholar.google.com/scholar?cites=11050797947768858239&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11050797947768858239&hl=en&as_sdt=0,5",None,"Users want IoT environments to provide them with personalized support. These environments therefore need to be able to learn user preferences, such as what temperature the room should be or which lights should be turned on. We propose a novel system that …",
Google Scholar,Reinforcement Learning of User Preferences for a Ubiquitous Personal Assistant,http://scholar.google.com/https://www.intechopen.com/download/pdf/13053,2011,2,18,8.92522438216689E+018,None,"http://scholar.google.com/scholar?cites=8925224382166895311&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8925224382166895311&hl=en&as_sdt=0,5",None,"New technologies bring a multiplicity of new possibilities for users to work with computers. Not only are spaces more and more equipped with stationary computers or notebooks, but more and more users carry mobile devices with them (smart-phones, personal digital …",
Google Scholar,Autonomous task sequencing for customized curriculum design in reinforcement learning,http://scholar.google.com/https://pdfs.semanticscholar.org/5104/9ff6f30b2c8a19ac0a0100a6c0168b9d76dc.pdf,2017,4,10,1.76097336769618E+019,http://scholar.google.com/https://pdfs.semanticscholar.org/5104/9ff6f30b2c8a19ac0a0100a6c0168b9d76dc.pdf,"http://scholar.google.com/scholar?cites=17609733676961846422&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17609733676961846422&hl=en&as_sdt=0,5",None,"Transfer learning is a method where an agent reuses knowledge learned in a source task to improve learning on a target task. Recent work has shown that transfer learning can be extended to the idea of curriculum learning, where the agent incrementally accumulates …",
Google Scholar,"Statistical Methods for Dynamic Treatment Regimes: Reinforcement Learning, Causal Inference, and Personalized Medicine. Vol. 76",None,2013,2,0,4.03569837407792E+018,None,"http://scholar.google.com/scholar?cites=4035698374077919339&as_sdt=2005&sciodt=0,5&hl=en",None,None,None,
Google Scholar,Interactive narrative personalization with deep reinforcement learning,http://scholar.google.com/https://pdfs.semanticscholar.org/a009/044d8d89b4ab2587d5ef591b79fd0b927fac.pdf,2017,2,5,1.25566638568561E+018,http://scholar.google.com/https://pdfs.semanticscholar.org/a009/044d8d89b4ab2587d5ef591b79fd0b927fac.pdf,"http://scholar.google.com/scholar?cites=1255666385685609171&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1255666385685609171&hl=en&as_sdt=0,5",None,Data-driven techniques for interactive narrative generation are the subject of growing interest. Reinforcement learning (RL) offers significant potential for devising data-driven interactive narrative generators that tailor players' story experiences by inducing policies …,
Google Scholar,"Probabilistic topic modeling, reinforcement learning, and crowdsourcing for personalized recommendations",http://scholar.google.com/https://link.springer.com/chapter/10.1007/978-3-319-59294-7_14,2016,1,3,4.56487435185489E+018,None,"http://scholar.google.com/scholar?cites=4564874351854891050&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4564874351854891050&hl=en&as_sdt=0,5",None,"We put forward an innovative use of probabilistic topic modeling (PTM) intertwined with reinforcement learning (RL), to provide personalized recommendations. Specifically, we model items under recommendation as mixtures of latent topics following a distribution with …",
Google Scholar,"Precision medicine as a control problem: Using simulation and deep reinforcement learning to discover adaptive, personalized multi-cytokine therapy for sepsis",http://scholar.google.com/https://arxiv.org/abs/1802.10440,2018,1,2,1.47980023928772E+019,None,"http://scholar.google.com/scholar?cites=14798002392877160999&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14798002392877160999&hl=en&as_sdt=0,5",None,"Sepsis is a life-threatening condition affecting one million people per year in the US in which dysregulation of the body's own immune system causes damage to its tissues, resulting in a 28-50% mortality rate. Clinical trials for sepsis treatment over the last 20 years have failed to …",
Google Scholar,Reinforcement Learning for Game Personalization on Edge Devices,http://scholar.google.com/https://ieeexplore.ieee.org/iel7/8355492/8356824/08356853.pdf,None,0,0,None,http://scholar.google.com/https://ieeexplore.ieee.org/iel7/8355492/8356824/08356853.pdf,None,None,None,"Good progress has been shown recently in the area of active learning, specifically, Reinforcement learning (RL). In this paper, the authors show how RL can be used to personalize games based on user-interaction with the game. The work uses Deep Q …",
Google Scholar,Investigating Deep Reinforcement Learning Techniques in Personalized Dialogue Generation,http://scholar.google.com/https://epubs.siam.org/doi/abs/10.1137/1.9781611975321.71,2018,0,0,None,None,None,None,None,"In this paper, we propose a personalized dialogue generation system, which combines reinforcement learning techniques with an attention-based hierarchical recurrent encoderdecoder model. Firstly, we incorporate user-specific information into the decoder to …",
Google Scholar,Personalization Information Technology of Multi Roles Cooperative Reinforcement Learning [J],http://en.cnki.com.cn/Article_en/CJFDTOTAL-JSGG200631053.htm,2006,0,0,None,None,None,None,None,"The paper concerns the present application situation that the network resources inflating frequently make the current search engine index tens of thousands of results, the good and evil intermingled. Referring social science and economics and psychology and distributed …",
Google Scholar,Personalized Medical Treatments Using Novel Reinforcement Learning Algorithms,http://scholar.google.com/https://arxiv.org/abs/1406.3922,2014,1,2,1.01240082374256E+019,None,"http://scholar.google.com/scholar?cites=10124008237425591894&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=10124008237425591894&hl=en&as_sdt=0,5",None,"In both the fields of computer science and medicine there is very strong interest in developing personalized treatment policies for patients who have variable responses to treatments. In particular, I aim to find an optimal personalized treatment policy which is a non …",
Google Scholar,"… generalization techniques from inductive concept learning can be applied to reinforcement learning. However, techniques often need to be tailored to specific details …",http://scholar.google.com/https://www.cs.cmu.edu/afs/cs/project/jair/pub/volume4/kaelbling96a-html/node32.html,None,0,4,None,None,None,"http://scholar.google.com/scholar?cluster=14455205936570150544&hl=en&as_sdt=0,5",None,"The reinforcement-learning architectures and algorithms discussed above have included the storage of a variety of mappings, including tex2html_wrap_inline2256 (policies), tex2html_wrap_inline2258 (value functions), tex2html_wrap_inline2260 (Q functions and …",
Google Scholar,Reinforcement Learning and Psychology: A Personal Story,http://incompleteideas.net/Talks/RLpsych.pdf,None,0,2,None,http://incompleteideas.net/Talks/RLpsych.pdf,None,"http://scholar.google.com/scholar?cluster=15064335997216713748&hl=en&as_sdt=0,5",None,"• The engineering endeavor most closely related to natural learning in animals and people!• A new (~ 30 year old) class of learning algorithms, inspired by animal learning psychology, and developed within machine learning and AI, for approximately solving large optimal …",
Google Scholar,FOREWORDDoes Reinforcement Learning Simulate Threshold Public Goods Games?: A Comparison with Subject ExperimentsA QoS Control …,http://scholar.google.com/https://search.ieice.org/bin/index.php?category=D&lang=E&num=8&vol=E86-D,None,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=14785074486542174507&hl=en&as_sdt=0,5",None,… pp.1335-1343 PAPER Does Reinforcement Learning Simulate Threshold Public Goods Games?:A Comparison with Subject Experiments Atsushi IWASAKI Shuichi IMURA Sobei H. ODA ItsuoHATONO Kanji UEDA. Summary , Full Text:PDF(648.1KB). pp.1344-1355 PAPER A QoS Control …
Google Scholar,Reinforcement-Learning-Based Personalization of Head-Related Transfer Functions,http://www.aes.org/e-lib/browse.cfm?elib=19563,2018,0,0,None,None,None,None,None,"Accurately perceiving spatial locations of virtual sounds using stereo earphones or headphones requires individual head-related transfer functions (HRTFs) for each listener. However, accurate HRTF measurement is usually difficult. While previous studies have …",
Google Scholar,Group-driven Reinforcement Learning for Personalized mHealth Intervention,http://scholar.google.com/https://arxiv.org/abs/1708.04001,2017,1,3,1.85934284902536E+018,None,"http://scholar.google.com/scholar?cites=1859342849025362188&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1859342849025362188&hl=en&as_sdt=0,5",None,"Due to the popularity of smartphones and wearable devices nowadays, mobile health (mHealth) technologies are promising to bring positive and wide impacts on people's health. State-of-the-art decision-making methods for mHealth rely on some ideal assumptions …",
Google Scholar,Personalization of Health Interventions using Cluster-Based Reinforcement Learning,http://scholar.google.com/https://arxiv.org/abs/1804.03592,2018,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=16740542658593853070&hl=en&as_sdt=0,5",None,Research has shown that personalization of health interventions can contribute to an improved effectiveness. Reinforcement learning algorithms can be used to perform such tailoring using data that is collected about users. Learning is however very fragile for health …,
Google Scholar,Personalization Travel Support Engine Using Reinforcement Learning,None,None,0,0,None,None,None,None,None,None,
Google Scholar,"Application of reinforcement learning where training institutes offer multiple short-term courses as professional career solution, in such environment …",http://swindlink.com/wp-content/themes/book-store1/uploads/paper_ApplicationofreinforcementlearninginServiceMarketingManagement-1513413142.docx,None,0,0,None,None,None,None,None,"Goal of a candidate is to teach Research-Methodology (subject) as a trainer (be it in Corporate or at academic institutes). He has completed MBA in systems. He visits a job-fair (as he was not getting his desired type of job), there professional training institutes also …",
Google Scholar,An Interactive Multisensing Framework for Personalized Human Robot Collaboration and Assistive Training Using Reinforcement Learning,http://scholar.google.com/https://dl.acm.org/citation.cfm?id=3076191,2017,0,0,None,None,None,None,None,"There is a recent trend of research and applications of Cyber-Physical Systems (CPS) in manufacturing to enhance human-robot collaboration and production. In this paper, we propose a CPS framework for personalized Human-Robot Collaboration and Training to …",
Google Scholar,Representation and Reinforcement Learning for Personalized Glycemic Control in Septic Patients,http://scholar.google.com/https://arxiv.org/abs/1712.00654,2017,0,3,None,None,None,"http://scholar.google.com/scholar?cluster=3499500435873679663&hl=en&as_sdt=0,5",None,"Glycemic control is essential for critical care. However, it is a challenging task because there has been no study on personalized optimal strategies for glycemic control. This work aims to learn personalized optimal glycemic trajectories for severely ill septic patients by learning …",
Google Scholar,… CoreAcquisition and Maintenance of Knowledge for Online Navigation SuggestionsCHQ: A Multi-Agent Reinforcement Learning Scheme for Partially …,http://scholar.google.com/https://search.ieice.org/bin/index.php?category=D&lang=E;&num=5&vol=E88-D&year=2005,None,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=4109290038346175065&hl=en&as_sdt=0,5",None,Archive. Japanese Page. SITE TOP. Login. Site License A B C D >. Forgotten your password?Menu. Search: Full-Text Search; Search(JPN). Latest Issue. A Fundamentals:Trans.Fundamentals. JPN Edition(in Japanese). B Communications: Trans.Commun. JPN …,
Google Scholar,… Intelligent Framework for Personalized Simulation-enhanced Surgery Assistance: Linking a Simulation Ontology to a Reinforcement Learning Algorithm for Calibration …,http://scholar.google.com/https://journals.ub.uni-heidelberg.de/index.php/emcl-pp/article/view/42079,2017,1,0,5.62460122550578E+018,None,"http://scholar.google.com/scholar?cites=5624601225505777501&as_sdt=2005&sciodt=0,5&hl=en",None,None,"Evolving our previous research results in the context of cognition-guidance and patient-specifity for simulation-enhanced cardiac surgery assistance, in this work we further investigate on (1) a machine learning framework which allows to patient-individually …",
Google Scholar,PERSONALIZED INSULIN INFUSION IN TYPE 1 DIABETES BASED ON REINFORCEMENT LEARNING,None,2014,0,0,None,None,None,None,None,None,
Google Scholar,"… of the Book Statistical Methods for Dynamic Treatment Regimes: Reinforcement Learning, Causal Inference, and Personalized Medicine by Bibhas …",http://scholar.google.com/https://www.infona.pl/resource/bwmeta1.element.springer-doi-10_1007-S13253-015-0204-7,2015,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=949719320383321427&hl=en&as_sdt=0,5",None,None,
Google Scholar,Personalised Human-Robot Co-Adaptation in Instructional Settings using Reinforcement Learning,http://www.diva-portal.org/smash/get/diva2:1162389/FULLTEXT01.pdf,2017,1,3,1.42095071540383E+019,http://www.diva-portal.org/smash/get/diva2:1162389/FULLTEXT01.pdf,"http://scholar.google.com/scholar?cites=14209507154038331625&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14209507154038331625&hl=en&as_sdt=0,5",None,"In the domain of robotic tutors, personalised tutoring has started to receive scientists' attention, but is still relatively underexplored. Previous work using reinforcement learning (RL) has addressed personalised tutoring from the perspective of affective policy learning. In …",
Google Scholar,Personalized Attention-Aware Exposure Control Using Reinforcement Learning,http://scholar.google.com/https://arxiv.org/abs/1803.02269,2018,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=16088264069985027389&hl=en&as_sdt=0,5",None,"We propose a reinforcement learning approach for real-time exposure control of a mobile camera that is personalizable. Our approach is based on Markov Decision Process (MDP). In the camera viewfinder or live preview mode, given the current frame, our system predicts …",
Google Scholar,Applying reinforcement and mastery learning: how it works based on personalized e-learning curriculum?,http://scholar.google.com/https://su-plus.strathmore.edu/handle/11071/3967,2014,0,5,None,None,None,"http://scholar.google.com/scholar?cluster=2431405743841653352&hl=en&as_sdt=0,5",None,"… In this paper, the system is able to perform reinforcement learning and mastery … the curriculumcontinuity of successive curriculum while implementing personalized learning sequence … Althoughthe paper has successfully implemented personalization, reinforcement and mastery … ",
Google Scholar,Personalized Anticoagulant Management Using Reinforcement Learning,http://search.proquest.com/openview/0fb11186b745ecde7d14d2839d94f6aa/1?pq-origsite=gscholar&cbl=18750&diss=y,2014,0,3,None,None,None,"http://scholar.google.com/scholar?cluster=3695353546665257597&hl=en&as_sdt=0,5",None,Introduction: There are many problems with current state-of-the-art protocols for maintenance dosing of the oral anticoagulant agent warfarin used in clinical practice. The two key challenges include lack of personalized dose adjustment and the high cost of …,
Google Scholar,Personal Style Learning in Sumi-e Stroke-based Rendering by Inverse Reinforcement Learning,http://scholar.google.com/https://ipsj.ixsq.nii.ac.jp/ej/index.php?action=pages_view_main&active_action=repository_action_common_download&item_id=96198&item_no=1&attribute_id=1&file_no=1&page_id=13&block_id=8,2013,0,4,None,None,None,"http://scholar.google.com/scholar?cluster=14849358291521081083&hl=en&as_sdt=0,5",None,"We consider the problem of automatically generating sumi-e style drawings using machine learning techniques. In our previous work, we regarded a brush as a computer agent and trained the brush to generate smooth strokes to fill given boundaries under a pre-designed …",
Google Scholar,Reinforcement machine learning for personalized intelligent alerting,http://scholar.google.com/https://patents.google.com/patent/US20170083929A1/en,2017,0,2,None,None,None,"http://scholar.google.com/scholar?cluster=8387125370688857537&hl=en&as_sdt=0,5",None,"… to an automated process that employs machine learning to create individually tailored alerts and …Based on the learning and results of the personalized game, suggested alerts are provided tothe … being executed by a computer or other machine, such as a personal data assistant … ",
